,cod,message,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,rain,snow
369,200,,"{'lon': -78.55, 'lat': -3.4}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 296.98, 'feels_like': 300.19, 'temp_min': 296.98, 'temp_max': 296.98, 'pressure': 1010, 'humidity': 81, 'sea_level': 1010, 'grnd_level': 880}",9476.0,"{'speed': 0.94, 'deg': 99}",{'all': 89},1606849912.0,"{'country': 'EC', 'sunrise': 1606820075, 'sunset': 1606864363}",-18000.0,3657661.0,Gualaquiza,{'1h': 1.77},
370,200,,"{'lon': 88.4, 'lat': 69.49}","[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",stations,"{'temp': 262.61, 'feels_like': 255.84, 'temp_min': 262.61, 'temp_max': 262.61, 'pressure': 1018, 'humidity': 95, 'sea_level': 1018, 'grnd_level': 1007}",93.0,"{'speed': 5.19, 'deg': 157}",{'all': 100},1606849912.0,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",25200.0,1490256.0,Talnakh,,{'1h': 1.17}
371,200,,"{'lon': 36.41, 'lat': 58.46}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 270.5, 'feels_like': 266.25, 'temp_min': 270.5, 'temp_max': 270.5, 'pressure': 1033, 'humidity': 97, 'sea_level': 1033, 'grnd_level': 1013}",10000.0,"{'speed': 2.65, 'deg': 196}",{'all': 90},1606849912.0,"{'country': 'RU', 'sunrise': 1606802281, 'sunset': 1606826961}",10800.0,498856.0,Sandovo,,
372,200,,"{'lon': 122.79, 'lat': -0.95}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 299.33, 'feels_like': 303.63, 'temp_min': 299.33, 'temp_max': 299.33, 'pressure': 1007, 'humidity': 76, 'sea_level': 1007, 'grnd_level': 1006}",10000.0,"{'speed': 0.28, 'deg': 293}",{'all': 100},1606849912.0,"{'country': 'ID', 'sunrise': 1606858400, 'sunset': 1606902214}",28800.0,1637001.0,Luwuk,,
373,200,,"{'lon': 57.61, 'lat': -19.98}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 298.15, 'feels_like': 301.13, 'temp_min': 298.15, 'temp_max': 298.15, 'pressure': 1016, 'humidity': 82}",10000.0,"{'speed': 2.24, 'deg': 110, 'gust': 3.58}",{'all': 0},1606849912.0,"{'type': 3, 'id': 2002134, 'country': 'MU', 'sunrise': 1606785689, 'sunset': 1606833375}",14400.0,934649.0,Cap Malheureux,,
374,404,city not found,,,,,,,,,,,,,,
375,200,,"{'lon': -54.38, 'lat': 4.25}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 304.59, 'feels_like': 307.81, 'temp_min': 304.59, 'temp_max': 304.59, 'pressure': 1007, 'humidity': 52, 'sea_level': 1007, 'grnd_level': 1000}",10000.0,"{'speed': 0.94, 'deg': 60}",{'all': 100},1606849913.0,"{'country': 'GF', 'sunrise': 1606815012, 'sunset': 1606857821}",-10800.0,3381538.0,Grand-Santi,,
376,404,city not found,,,,,,,,,,,,,,
377,200,,"{'lon': 88.67, 'lat': 50}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 247.2, 'feels_like': 242.86, 'temp_min': 247.2, 'temp_max': 247.2, 'pressure': 1051, 'humidity': 84, 'sea_level': 1051, 'grnd_level': 830}",10000.0,"{'speed': 0.77, 'deg': 11}",{'all': 41},1606849913.0,"{'country': 'RU', 'sunrise': 1606873422, 'sunset': 1606903575}",25200.0,1502422.0,Kosh-Agach,,
378,200,,"{'lon': 59.53, 'lat': 22.57}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 295.41, 'feels_like': 297.95, 'temp_min': 295.41, 'temp_max': 295.41, 'pressure': 1017, 'humidity': 77, 'sea_level': 1017, 'grnd_level': 1016}",10000.0,"{'speed': 0.38, 'deg': 134}",{'all': 0},1606849914.0,"{'country': 'OM', 'sunrise': 1606789538, 'sunset': 1606828604}",14400.0,286245.0,Sur,,
379,200,,"{'lon': 97.32, 'lat': 57.45}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 257.51, 'feels_like': 252.35, 'temp_min': 257.51, 'temp_max': 257.51, 'pressure': 1042, 'humidity': 93, 'sea_level': 1042, 'grnd_level': 1019}",2974.0,"{'speed': 2.45, 'deg': 246}",{'all': 100},1606849914.0,"{'country': 'RU', 'sunrise': 1606873727, 'sunset': 1606899116}",25200.0,1507638.0,Chunoyar,,
380,200,,"{'lon': 1.28, 'lat': 51.94}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 277.96, 'feels_like': 274.18, 'temp_min': 277.59, 'temp_max': 278.15, 'pressure': 1022, 'humidity': 85}",10000.0,"{'speed': 3.13, 'deg': 294, 'gust': 5.81}",{'all': 94},1606849863.0,"{'type': 3, 'id': 2010854, 'country': 'GB', 'sunrise': 1606808454, 'sunset': 1606837655}",0.0,2647383.0,Harwich,,
381,200,,"{'lon': 48.33, 'lat': -21.22}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 298.52, 'feels_like': 298.23, 'temp_min': 298.52, 'temp_max': 298.52, 'pressure': 1013, 'humidity': 75, 'sea_level': 1013, 'grnd_level': 1012}",10000.0,"{'speed': 6.12, 'deg': 14}",{'all': 100},1606849914.0,"{'country': 'MG', 'sunrise': 1606787777, 'sunset': 1606835743}",10800.0,1061335.0,Mananjary,,
382,200,,"{'lon': 147.27, 'lat': -2.02}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 300.75, 'feels_like': 304.11, 'temp_min': 300.75, 'temp_max': 300.75, 'pressure': 1007, 'humidity': 76, 'sea_level': 1007, 'grnd_level': 1007}",10000.0,"{'speed': 2.67, 'deg': 101}",{'all': 100},1606849915.0,"{'country': 'PG', 'sunrise': 1606852420, 'sunset': 1606896441}",36000.0,2092164.0,Lorengau,,
383,200,,"{'lon': 74.17, 'lat': 15.23}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 295.96, 'feels_like': 296.01, 'temp_min': 295.96, 'temp_max': 295.96, 'pressure': 1013, 'humidity': 60, 'sea_level': 1013, 'grnd_level': 1011}",10000.0,"{'speed': 2.05, 'deg': 83}",{'all': 69},1606849915.0,"{'country': 'IN', 'sunrise': 1606871670, 'sunset': 1606912288}",19800.0,1257399.0,Sanguem,,
384,200,,"{'lon': 81.82, 'lat': 7.42}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 297.5, 'feels_like': 297.62, 'temp_min': 297.5, 'temp_max': 297.5, 'pressure': 1007, 'humidity': 94, 'sea_level': 1007, 'grnd_level': 1006}",10000.0,"{'speed': 7.58, 'deg': 301}",{'all': 100},1606849915.0,"{'country': 'LK', 'sunrise': 1606869049, 'sunset': 1606911236}",19800.0,1242110.0,Kalmunai,{'1h': 2.8792},
385,200,,"{'lon': -81.21, 'lat': -4.27}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 296.33, 'feels_like': 293.45, 'temp_min': 296.33, 'temp_max': 296.33, 'pressure': 1010, 'humidity': 68, 'sea_level': 1010, 'grnd_level': 981}",6089.0,"{'speed': 7.48, 'deg': 223}",{'all': 57},1606849915.0,"{'country': 'PE', 'sunrise': 1606820629, 'sunset': 1606865086}",-18000.0,3697441.0,El Alto,,
386,200,,"{'lon': -147.72, 'lat': 64.84}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 265.83, 'feels_like': 261.64, 'temp_min': 263.15, 'temp_max': 268.15, 'pressure': 980, 'humidity': 82}",10000.0,"{'speed': 1.64, 'deg': 59}",{'all': 100},1606849712.0,"{'type': 3, 'id': 2007356, 'country': 'US', 'sunrise': 1606850457, 'sunset': 1606867191}",-32400.0,5861897.0,Fairbanks,,
387,200,,"{'lon': -72.42, 'lat': -35.33}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 291, 'feels_like': 284.41, 'temp_min': 291, 'temp_max': 291, 'pressure': 1015, 'humidity': 56, 'sea_level': 1015, 'grnd_level': 1012}",10000.0,"{'speed': 9.08, 'deg': 221}",{'all': 100},1606849916.0,"{'country': 'CL', 'sunrise': 1606814898, 'sunset': 1606866596}",-10800.0,3893726.0,Constitución,,
388,200,,"{'lon': 101.38, 'lat': -2.08}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 290.17, 'feels_like': 290.01, 'temp_min': 290.17, 'temp_max': 290.17, 'pressure': 1010, 'humidity': 70, 'sea_level': 1010, 'grnd_level': 899}",10000.0,"{'speed': 0.9, 'deg': 16}",{'all': 0},1606849916.0,"{'country': 'ID', 'sunrise': 1606863430, 'sunset': 1606907464}",25200.0,1625929.0,Sungai Penuh,,
389,200,,"{'lon': 94.73, 'lat': 16.78}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 295.58, 'feels_like': 297.34, 'temp_min': 295.58, 'temp_max': 295.58, 'pressure': 1012, 'humidity': 76, 'sea_level': 1012, 'grnd_level': 1011}",10000.0,"{'speed': 1.47, 'deg': 335}",{'all': 98},1606849916.0,"{'country': 'MM', 'sunrise': 1606866895, 'sunset': 1606907192}",23400.0,1328421.0,Pathein,,
390,200,,"{'lon': 92.9, 'lat': 20.15}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 295.84, 'feels_like': 296.19, 'temp_min': 295.84, 'temp_max': 295.84, 'pressure': 1014, 'humidity': 72, 'sea_level': 1014, 'grnd_level': 1013}",10000.0,"{'speed': 3.12, 'deg': 8}",{'all': 86},1606849916.0,"{'country': 'MM', 'sunrise': 1606867696, 'sunset': 1606907270}",23400.0,1295765.0,Sittwe,,
391,200,,"{'lon': -46.14, 'lat': -5.82}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 306.92, 'feels_like': 308.61, 'temp_min': 306.92, 'temp_max': 306.92, 'pressure': 1007, 'humidity': 43, 'sea_level': 1007, 'grnd_level': 991}",10000.0,"{'speed': 2.48, 'deg': 78}",{'all': 69},1606849917.0,"{'country': 'BR', 'sunrise': 1606812059, 'sunset': 1606856818}",-10800.0,3398856.0,Grajaú,,
392,200,,"{'lon': -127.42, 'lat': 50.7}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 279.08, 'feels_like': 273.35, 'temp_min': 279.08, 'temp_max': 279.08, 'pressure': 1035, 'humidity': 69, 'sea_level': 1035, 'grnd_level': 1035}",10000.0,"{'speed': 5.49, 'deg': 109}",{'all': 0},1606849917.0,"{'country': 'CA', 'sunrise': 1606839034, 'sunset': 1606868868}",-28800.0,6111862.0,Port Hardy,,
393,200,,"{'lon': -8.53, 'lat': 7.3}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 295.79, 'feels_like': 299.37, 'temp_min': 295.79, 'temp_max': 295.79, 'pressure': 1011, 'humidity': 93, 'sea_level': 1011, 'grnd_level': 964}",10000.0,"{'speed': 1.19, 'deg': 182}",{'all': 1},1606849917.0,"{'country': 'LR', 'sunrise': 1606804300, 'sunset': 1606846519}",0.0,2277197.0,Ganta,,
394,200,,"{'lon': -23.51, 'lat': 14.92}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 296.75, 'feels_like': 295.73, 'temp_min': 296.75, 'temp_max': 296.75, 'pressure': 1014, 'humidity': 71, 'sea_level': 1014, 'grnd_level': 1012}",10000.0,"{'speed': 5.46, 'deg': 35}",{'all': 100},1606849918.0,"{'country': 'CV', 'sunrise': 1606808657, 'sunset': 1606849355}",-3600.0,3374333.0,Praia,,
395,200,,"{'lon': -83.87, 'lat': 9.84}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 294.82, 'feels_like': 294.74, 'temp_min': 294.82, 'temp_max': 294.82, 'pressure': 1014, 'humidity': 79}",337.0,"{'speed': 4.02, 'deg': 96, 'gust': 7.15}",{'all': 100},1606849918.0,"{'type': 3, 'id': 2007848, 'country': 'CR', 'sunrise': 1606822637, 'sunset': 1606864354}",-21600.0,3622547.0,Paraíso,,
